date,areaType,areaCode,areaName,metric,age,value,rate
14/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1135,1002.8
14/09/2020,nation,W92000004,Wales,maleCases,55_to_59,652,607.7
14/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,691,698.3
14/09/2020,nation,W92000004,Wales,maleCases,60_to_64,443,471.8
14/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,329,351.6
14/09/2020,nation,W92000004,Wales,maleCases,65_to_69,338,381.6
14/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,331,357.3
14/09/2020,nation,W92000004,Wales,maleCases,70_to_74,430,496.3
14/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,411,610.9
14/09/2020,nation,W92000004,Wales,maleCases,75_to_79,506,850.4
14/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,502,1002.6
14/09/2020,nation,W92000004,Wales,maleCases,80_to_84,500,1259.4
14/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,606,1865.6
14/09/2020,nation,W92000004,Wales,maleCases,85_to_89,422,1972.3
14/09/2020,nation,W92000004,Wales,femaleCases,90+,675,3241.3
14/09/2020,nation,W92000004,Wales,maleCases,90+,309,3188.5
23/09/2020,nation,W92000004,Wales,femaleCases,0_to_4,74,91.5
23/09/2020,nation,W92000004,Wales,maleCases,0_to_4,91,107.4
23/09/2020,nation,W92000004,Wales,femaleCases,10_to_14,81,90.4
23/09/2020,nation,W92000004,Wales,maleCases,10_to_14,123,130.6
23/09/2020,nation,W92000004,Wales,femaleCases,15_to_19,305,346.2
23/09/2020,nation,W92000004,Wales,maleCases,15_to_19,271,292.3
23/09/2020,nation,W92000004,Wales,femaleCases,20_to_24,930,1119.4
23/09/2020,nation,W92000004,Wales,maleCases,20_to_24,502,562.2
23/09/2020,nation,W92000004,Wales,femaleCases,25_to_29,1157,1204.5
23/09/2020,nation,W92000004,Wales,maleCases,25_to_29,677,636.6
23/09/2020,nation,W92000004,Wales,femaleCases,30_to_34,1001,984.1
23/09/2020,nation,W92000004,Wales,maleCases,30_to_34,621,582.9
23/09/2020,nation,W92000004,Wales,femaleCases,35_to_39,968,1001.2
23/09/2020,nation,W92000004,Wales,maleCases,35_to_39,594,617.0
23/09/2020,nation,W92000004,Wales,femaleCases,40_to_44,983,1051.3
23/09/2020,nation,W92000004,Wales,maleCases,40_to_44,545,596.2
23/09/2020,nation,W92000004,Wales,femaleCases,45_to_49,1227,1428.5
23/09/2020,nation,W92000004,Wales,maleCases,45_to_49,629,751.8
23/09/2020,nation,W92000004,Wales,femaleCases,5_to_9,82,73.5
23/09/2020,nation,W92000004,Wales,maleCases,5_to_9,83,78.4
23/09/2020,nation,W92000004,Wales,femaleCases,50_to_54,1382,1353.7
23/09/2020,nation,W92000004,Wales,maleCases,50_to_54,688,709.4
23/09/2020,nation,W92000004,Wales,femaleCases,55_to_59,1217,1075.2
23/09/2020,nation,W92000004,Wales,maleCases,55_to_59,735,685.0
23/09/2020,nation,W92000004,Wales,femaleCases,60_to_64,740,747.8
23/09/2020,nation,W92000004,Wales,maleCases,60_to_64,505,537.8
23/09/2020,nation,W92000004,Wales,femaleCases,65_to_69,362,386.8
23/09/2020,nation,W92000004,Wales,maleCases,65_to_69,367,414.4
23/09/2020,nation,W92000004,Wales,femaleCases,70_to_74,355,383.2
23/09/2020,nation,W92000004,Wales,maleCases,70_to_74,449,518.3
23/09/2020,nation,W92000004,Wales,femaleCases,75_to_79,429,637.6
23/09/2020,nation,W92000004,Wales,maleCases,75_to_79,519,872.2
23/09/2020,nation,W92000004,Wales,femaleCases,80_to_84,517,1032.6
23/09/2020,nation,W92000004,Wales,maleCases,80_to_84,515,1297.2
23/09/2020,nation,W92000004,Wales,femaleCases,85_to_89,615,1893.4
23/09/2020,nation,W92000004,Wales,maleCases,85_to_89,428,2000.4
