Area,Date,Total_Cases,Daily_Cases
Ceredigion,13/06/2020,46,0
Conwy,13/06/2020,587,3
Denbighshire,13/06/2020,683,4
Flintshire,13/06/2020,487,2
Gwynedd,13/06/2020,470,1
Merthyr Tydfil,13/06/2020,419,1
Monmouthshire,13/06/2020,350,0
Neath Port Talbot,13/06/2020,615,2
Newport,13/06/2020,850,1
Pembrokeshire,13/06/2020,283,2
Powys,13/06/2020,296,0
Rhondda Cynon Taf,13/06/2020,1714,7
Swansea,13/06/2020,1278,0
Torfaen,13/06/2020,348,1
Vale of Glamorgan,13/06/2020,686,2
Wrexham,13/06/2020,611,4
Anglesey,14/06/2020,252,2
Blaenau Gwent,14/06/2020,338,0
Bridgend,14/06/2020,542,3
Caerphilly,14/06/2020,706,0
Cardiff,14/06/2020,2177,3
Carmarthenshire,14/06/2020,747,2
Ceredigion,14/06/2020,47,1
Conwy,14/06/2020,590,3
Denbighshire,14/06/2020,683,0
Flintshire,14/06/2020,487,0
Gwynedd,14/06/2020,476,6
Merthyr Tydfil,14/06/2020,422,3
Monmouthshire,14/06/2020,350,0
Neath Port Talbot,14/06/2020,616,1
Newport,14/06/2020,850,0
Pembrokeshire,14/06/2020,283,0
Powys,14/06/2020,296,0
Rhondda Cynon Taf,14/06/2020,1723,9
Swansea,14/06/2020,1279,1
Torfaen,14/06/2020,348,0
Vale of Glamorgan,14/06/2020,690,4
Wrexham,14/06/2020,611,0
Anglesey,15/06/2020,261,9
Blaenau Gwent,15/06/2020,338,0
Bridgend,15/06/2020,543,1
Caerphilly,15/06/2020,708,2
Cardiff,15/06/2020,2182,5
Carmarthenshire,15/06/2020,752,5
Ceredigion,15/06/2020,47,0
Conwy,15/06/2020,600,10
Denbighshire,15/06/2020,684,1
Flintshire,15/06/2020,492,5
Gwynedd,15/06/2020,478,2
Merthyr Tydfil,15/06/2020,422,0
Monmouthshire,15/06/2020,350,0
Neath Port Talbot,15/06/2020,616,0
Newport,15/06/2020,851,1
Pembrokeshire,15/06/2020,284,1
Powys,15/06/2020,296,0
Rhondda Cynon Taf,15/06/2020,1730,7
Swansea,15/06/2020,1280,1
Torfaen,15/06/2020,348,0
Vale of Glamorgan,15/06/2020,693,3
Wrexham,15/06/2020,620,9
Anglesey,16/06/2020,269,8
Blaenau Gwent,16/06/2020,339,1
Bridgend,16/06/2020,543,0
Caerphilly,16/06/2020,708,0
Cardiff,16/06/2020,2186,4
Carmarthenshire,16/06/2020,754,2
Ceredigion,16/06/2020,49,2
Conwy,16/06/2020,608,8
Denbighshire,16/06/2020,690,6
Flintshire,16/06/2020,494,2
Gwynedd,16/06/2020,484,6
Merthyr Tydfil,16/06/2020,422,0
Monmouthshire,16/06/2020,350,0
Neath Port Talbot,16/06/2020,618,2
Newport,16/06/2020,853,2
Pembrokeshire,16/06/2020,285,1
Powys,16/06/2020,296,0
Rhondda Cynon Taf,16/06/2020,1736,6
Swansea,16/06/2020,1280,0
Torfaen,16/06/2020,350,2
Vale of Glamorgan,16/06/2020,698,5
Wrexham,16/06/2020,627,1
Anglesey,17/06/2020,280,11
Blaenau Gwent,17/06/2020,339,0
Bridgend,17/06/2020,544,1
Caerphilly,17/06/2020,708,0
Cardiff,17/06/2020,2188,2
Carmarthenshire,17/06/2020,756,2
Ceredigion,17/06/2020,49,0
Conwy,17/06/2020,616,8
Denbighshire,17/06/2020,693,3
Flintshire,17/06/2020,495,1
Gwynedd,17/06/2020,485,1
Merthyr Tydfil,17/06/2020,424,2
Monmouthshire,17/06/2020,350,0
Neath Port Talbot,17/06/2020,660,2
Newport,17/06/2020,853,0
Pembrokeshire,17/06/2020,285,0
Powys,17/06/2020,296,0
Rhondda Cynon Taf,17/06/2020,1744,8
Swansea,17/06/2020,1280,0
Torfaen,17/06/2020,350,0
Vale of Glamorgan,17/06/2020,703,5
Wrexham,17/06/2020,634,7
Anglesey,18/06/2020,291,11
Blaenau Gwent,18/06/2020,339,0
Bridgend,18/06/2020,544,0
Caerphilly,18/06/2020,708,0
Cardiff,18/06/2020,2193,5
Carmarthenshire,18/06/2020,756,0
Ceredigion,18/06/2020,51,2
Conwy,18/06/2020,620,4
Denbighshire,18/06/2020,694,1
Flintshire,18/06/2020,495,0
Gwynedd,18/06/2020,487,2
Merthyr Tydfil,18/06/2020,425,1
Monmouthshire,18/06/2020,351,1
Neath Port Talbot,18/06/2020,620,0
Newport,18/06/2020,855,2
Pembrokeshire,18/06/2020,285,0
Powys,18/06/2020,296,0
Rhondda Cynon Taf,18/06/2020,1745,1
Swansea,18/06/2020,1280,0
Torfaen,18/06/2020,350,0
Vale of Glamorgan,18/06/2020,711,8
Wrexham,18/06/2020,641,7
Anglesey,19/06/2020,294,3
Blaenau Gwent,19/06/2020,341,2
Bridgend,19/06/2020,547,3
Caerphilly,19/06/2020,709,1
Cardiff,19/06/2020,2194,1
Carmarthenshire,19/06/2020,758,2
Ceredigion,19/06/2020,51,0
Conwy,19/06/2020,621,1
Denbighshire,19/06/2020,694,0
Flintshire,19/06/2020,498,3
Gwynedd,19/06/2020,488,1
Merthyr Tydfil,19/06/2020,426,1
Monmouthshire,19/06/2020,351,0
Neath Port Talbot,19/06/2020,622,2
Newport,19/06/2020,855,0
Pembrokeshire,19/06/2020,286,1
Powys,19/06/2020,296,0
Rhondda Cynon Taf,19/06/2020,1748,3
Swansea,19/06/2020,1280,0
Torfaen,19/06/2020,350,0
Vale of Glamorgan,19/06/2020,711,0
Wrexham,19/06/2020,647,6
Anglesey,20/06/2020,297,3
Blaenau Gwent,20/06/2020,341,0
Bridgend,20/06/2020,548,1
Caerphilly,20/06/2020,709,0
Cardiff,20/06/2020,2194,0
Carmarthenshire,20/06/2020,760,2
Ceredigion,20/06/2020,52,1
Conwy,20/06/2020,621,0
Denbighshire,20/06/2020,697,3
Flintshire,20/06/2020,500,2
Gwynedd,20/06/2020,492,4
Merthyr Tydfil,20/06/2020,426,0
Monmouthshire,20/06/2020,351,0
Neath Port Talbot,20/06/2020,622,0
Newport,20/06/2020,855,0
Pembrokeshire,20/06/2020,286,0
Powys,20/06/2020,296,0
Rhondda Cynon Taf,20/06/2020,1749,1
Swansea,20/06/2020,1280,0
Torfaen,20/06/2020,350,0
Vale of Glamorgan,20/06/2020,711,0
Wrexham,20/06/2020,649,2
Anglesey,21/06/2020,327,30
Blaenau Gwent,21/06/2020,342,1
Bridgend,21/06/2020,548,0
Caerphilly,21/06/2020,709,0
Cardiff,21/06/2020,2197,3
Carmarthenshire,21/06/2020,762,2
Ceredigion,21/06/2020,54,2
Conwy,21/06/2020,627,6
Denbighshire,21/06/2020,700,3
Flintshire,21/06/2020,508,8
Gwynedd,21/06/2020,510,18
Merthyr Tydfil,21/06/2020,426,0
Monmouthshire,21/06/2020,353,2
Neath Port Talbot,21/06/2020,624,2
Newport,21/06/2020,855,0
Pembrokeshire,21/06/2020,286,0
Powys,21/06/2020,297,1
Rhondda Cynon Taf,21/06/2020,1753,4
Swansea,21/06/2020,1280,0
Torfaen,21/06/2020,350,0
Vale of Glamorgan,21/06/2020,711,0
Wrexham,21/06/2020,650,1
Anglesey,22/06/2020,349,22
Blaenau Gwent,22/06/2020,342,0
Bridgend,22/06/2020,550,2
Caerphilly,22/06/2020,710,1
Cardiff,22/06/2020,2204,7
Carmarthenshire,22/06/2020,762,0
Ceredigion,22/06/2020,54,0
Conwy,22/06/2020,630,3
Denbighshire,22/06/2020,702,2
Flintshire,22/06/2020,511,3
Gwynedd,22/06/2020,519,9
Merthyr Tydfil,22/06/2020,426,0
Monmouthshire,22/06/2020,354,1
Neath Port Talbot,22/06/2020,624,0
Newport,22/06/2020,855,0
Pembrokeshire,22/06/2020,286,0
Powys,22/06/2020,298,1
Rhondda Cynon Taf,22/06/2020,1760,7
Swansea,22/06/2020,1280,0
Torfaen,22/06/2020,350,0
Vale of Glamorgan,22/06/2020,713,2
Wrexham,22/06/2020,654,4
Anglesey,23/06/2020,356,7
Blaenau Gwent,23/06/2020,345,3
Bridgend,23/06/2020,551,1
Caerphilly,23/06/2020,713,3
Cardiff,23/06/2020,2211,7
Carmarthenshire,23/06/2020,763,1
Ceredigion,23/06/2020,54,0
Conwy,23/06/2020,641,11
Denbighshire,23/06/2020,707,5
Flintshire,23/06/2020,515,4
Gwynedd,23/06/2020,522,3
Merthyr Tydfil,23/06/2020,429,3
Monmouthshire,23/06/2020,354,0
Neath Port Talbot,23/06/2020,626,2
Newport,23/06/2020,855,0
Pembrokeshire,23/06/2020,286,0
Powys,23/06/2020,299,1
Rhondda Cynon Taf,23/06/2020,1772,12
Swansea,23/06/2020,1280,0
Torfaen,23/06/2020,350,0
Vale of Glamorgan,23/06/2020,718,5
Wrexham,23/06/2020,679,25
Anglesey,24/06/2020,356,0
Blaenau Gwent,24/06/2020,345,0
Bridgend,24/06/2020,551,0
Caerphilly,24/06/2020,714,1
Cardiff,24/06/2020,2213,2
Carmarthenshire,24/06/2020,763,0
Ceredigion,24/06/2020,54,0
Conwy,24/06/2020,642,2
Denbighshire,24/06/2020,709,2
Flintshire,24/06/2020,515,0
Gwynedd,24/06/2020,524,2
Merthyr Tydfil,24/06/2020,429,0
Monmouthshire,24/06/2020,355,1
Neath Port Talbot,24/06/2020,627,1
Newport,24/06/2020,855,0
Pembrokeshire,24/06/2020,286,0
Powys,24/06/2020,299,0
Rhondda Cynon Taf,24/06/2020,1776,4
Swansea,24/06/2020,1280,0
Torfaen,24/06/2020,350,0
Vale of Glamorgan,24/06/2020,723,5
Wrexham,24/06/2020,702,23
Anglesey,25/06/2020,361,5
Blaenau Gwent,25/06/2020,345,0
Bridgend,25/06/2020,551,0
Caerphilly,25/06/2020,715,0
Cardiff,25/06/2020,2223,9
Carmarthenshire,25/06/2020,763,0
Ceredigion,25/06/2020,56,2
Conwy,25/06/2020,646,4
Denbighshire,25/06/2020,709,0
Flintshire,25/06/2020,517,2
Gwynedd,25/06/2020,529,5
Merthyr Tydfil,25/06/2020,431,2
Monmouthshire,25/06/2020,354,0
Neath Port Talbot,25/06/2020,629,1
Newport,25/06/2020,855,1
Pembrokeshire,25/06/2020,285,0
Powys,25/06/2020,299,0
Rhondda Cynon Taf,25/06/2020,1778,2
Swansea,25/06/2020,1278,1
Torfaen,25/06/2020,350,0
Vale of Glamorgan,25/06/2020,726,3
Wrexham,25/06/2020,753,51
Anglesey,26/06/2020,368,7
Blaenau Gwent,26/06/2020,346,1
Bridgend,26/06/2020,552,1
Caerphilly,26/06/2020,716,1
Cardiff,26/06/2020,2225,2
Carmarthenshire,26/06/2020,765,1
Ceredigion,26/06/2020,57,1
Conwy,26/06/2020,649,3
Denbighshire,26/06/2020,711,2
Flintshire,26/06/2020,518,1
Gwynedd,26/06/2020,535,5
Merthyr Tydfil,26/06/2020,432,1
Monmouthshire,26/06/2020,354,0
Neath Port Talbot,26/06/2020,629,0
Newport,26/06/2020,855,0
Pembrokeshire,26/06/2020,285,0
Powys,26/06/2020,300,1
Rhondda Cynon Taf,26/06/2020,1779,1
Swansea,26/06/2020,1278,0
Torfaen,26/06/2020,350,0
Vale of Glamorgan,26/06/2020,727,1
Wrexham,26/06/2020,792,25
Anglesey,27/06/2020,370,2
Blaenau Gwent,27/06/2020,346,0
Bridgend,27/06/2020,553,1
Caerphilly,27/06/2020,717,1
Cardiff,27/06/2020,2226,1
Carmarthenshire,27/06/2020,767,2
Ceredigion,27/06/2020,57,0
Conwy,27/06/2020,653,4
Denbighshire,27/06/2020,712,1
Flintshire,27/06/2020,521,3
Gwynedd,27/06/2020,535,0
Merthyr Tydfil,27/06/2020,432,0
Monmouthshire,27/06/2020,354,0
Neath Port Talbot,27/06/2020,629,0
Newport,27/06/2020,855,0
Pembrokeshire,27/06/2020,285,0
Powys,27/06/2020,300,0
Rhondda Cynon Taf,27/06/2020,1781,2
Swansea,27/06/2020,1278,0
Torfaen,27/06/2020,351,1
Vale of Glamorgan,27/06/2020,727,0
Wrexham,27/06/2020,814,22
Anglesey,28/06/2020,371,1
Blaenau Gwent,28/06/2020,347,1
Bridgend,28/06/2020,553,0
Caerphilly,28/06/2020,717,0
Cardiff,28/06/2020,2230,4
Carmarthenshire,28/06/2020,770,3
Ceredigion,28/06/2020,57,0
Conwy,28/06/2020,656,3
Denbighshire,28/06/2020,712,0
Flintshire,28/06/2020,522,1
Gwynedd,28/06/2020,539,4
Merthyr Tydfil,28/06/2020,432,0
Monmouthshire,28/06/2020,355,1
Neath Port Talbot,28/06/2020,629,0
Newport,28/06/2020,856,1
Pembrokeshire,28/06/2020,285,0
Powys,28/06/2020,300,0
Rhondda Cynon Taf,28/06/2020,1781,0
Swansea,28/06/2020,1279,1
Torfaen,28/06/2020,351,0
Vale of Glamorgan,28/06/2020,728,1
Wrexham,28/06/2020,816,2
Anglesey,29/06/2020,378,2
Blaenau Gwent,29/06/2020,347,0
Bridgend,29/06/2020,554,1
Caerphilly,29/06/2020,718,1
Cardiff,29/06/2020,2231,1
Carmarthenshire,29/06/2020,771,1
Ceredigion,29/06/2020,58,1
Conwy,29/06/2020,656,0
Denbighshire,29/06/2020,713,1
Flintshire,29/06/2020,523,0
Gwynedd,29/06/2020,541,1
Merthyr Tydfil,29/06/2020,529,97
Monmouthshire,29/06/2020,357,2
Neath Port Talbot,29/06/2020,629,0
Newport,29/06/2020,856,0
Pembrokeshire,29/06/2020,285,0
Powys,29/06/2020,300,0
Rhondda Cynon Taf,29/06/2020,1783,2
Swansea,29/06/2020,1279,0
Torfaen,29/06/2020,351,0
Vale of Glamorgan,29/06/2020,728,0
Wrexham,29/06/2020,820,2
Anglesey,30/06/2020,379,1
Blaenau Gwent,30/06/2020,347,0
Bridgend,30/06/2020,554,0
Caerphilly,30/06/2020,719,1
Cardiff,30/06/2020,2234,3
Carmarthenshire,30/06/2020,773,2
Ceredigion,30/06/2020,58,0
Conwy,30/06/2020,659,3
Denbighshire,30/06/2020,713,0
Flintshire,30/06/2020,523,0
Gwynedd,30/06/2020,542,1
Merthyr Tydfil,30/06/2020,537,8
Monmouthshire,30/06/2020,357,0
Neath Port Talbot,30/06/2020,629,0
Newport,30/06/2020,857,1
Pembrokeshire,30/06/2020,285,0
Powys,30/06/2020,301,1
Rhondda Cynon Taf,30/06/2020,1783,0
Swansea,30/06/2020,1279,0
Torfaen,30/06/2020,351,0
Vale of Glamorgan,30/06/2020,728,0
Wrexham,30/06/2020,825,5
Anglesey,01/07/2020,380,1
Blaenau Gwent,01/07/2020,348,1
Bridgend,01/07/2020,554,0
Caerphilly,01/07/2020,719,0
Cardiff,01/07/2020,2244,10
Carmarthenshire,01/07/2020,776,3
Ceredigion,01/07/2020,58,0
Conwy,01/07/2020,662,3
Denbighshire,01/07/2020,714,1
Flintshire,01/07/2020,523,0
Gwynedd,01/07/2020,543,1
Merthyr Tydfil,01/07/2020,539,2
Monmouthshire,01/07/2020,357,0
Neath Port Talbot,01/07/2020,630,1
Newport,01/07/2020,857,0
Pembrokeshire,01/07/2020,286,1
Powys,01/07/2020,301,0
Rhondda Cynon Taf,01/07/2020,1787,4
Swansea,01/07/2020,1279,0
Torfaen,01/07/2020,352,1
Vale of Glamorgan,01/07/2020,729,1
Wrexham,01/07/2020,826,1
Anglesey,02/07/2020,380,0
Blaenau Gwent,02/07/2020,348,0
Bridgend,02/07/2020,554,0
Caerphilly,02/07/2020,719,0
Cardiff,02/07/2020,2247,3
Carmarthenshire,02/07/2020,779,3
Ceredigion,02/07/2020,58,0
Conwy,02/07/2020,664,2
Denbighshire,02/07/2020,716,2
Flintshire,02/07/2020,529,6
Gwynedd,02/07/2020,544,1
Merthyr Tydfil,02/07/2020,540,1
Monmouthshire,02/07/2020,357,0
Neath Port Talbot,02/07/2020,631,1
Newport,02/07/2020,858,1
Pembrokeshire,02/07/2020,286,0
Powys,02/07/2020,302,1
Rhondda Cynon Taf,02/07/2020,1789,2
Swansea,02/07/2020,1279,0
Torfaen,02/07/2020,352,0
Vale of Glamorgan,02/07/2020,731,2
Wrexham,02/07/2020,841,15
Anglesey,03/07/2020,381,1
Blaenau Gwent,03/07/2020,350,2
Bridgend,03/07/2020,554,0
Caerphilly,03/07/2020,720,1
Cardiff,03/07/2020,2248,1
Carmarthenshire,03/07/2020,779,0
Ceredigion,03/07/2020,58,0
Conwy,03/07/2020,664,0
Denbighshire,03/07/2020,718,2
Flintshire,03/07/2020,531,2
Gwynedd,03/07/2020,545,1
Merthyr Tydfil,03/07/2020,540,0
Monmouthshire,03/07/2020,357,0
Neath Port Talbot,03/07/2020,633,2
Newport,03/07/2020,858,0
Pembrokeshire,03/07/2020,286,0
Powys,03/07/2020,302,0
Rhondda Cynon Taf,03/07/2020,1789,0
Swansea,03/07/2020,1280,1
Torfaen,03/07/2020,352,0
Vale of Glamorgan,03/07/2020,732,1
Wrexham,03/07/2020,848,7
Anglesey,04/07/2020,382,1
Blaenau Gwent,04/07/2020,352,2
Bridgend,04/07/2020,554,0
Caerphilly,04/07/2020,721,1
Cardiff,04/07/2020,2249,1
Carmarthenshire,04/07/2020,783,2
Ceredigion,04/07/2020,58,0
Conwy,04/07/2020,666,2
Denbighshire,04/07/2020,719,1
Flintshire,04/07/2020,533,2
Gwynedd,04/07/2020,537,2
Merthyr Tydfil,04/07/2020,541,1
Monmouthshire,04/07/2020,357,0
Neath Port Talbot,04/07/2020,633,0
Newport,04/07/2020,858,0
Pembrokeshire,04/07/2020,286,0
Powys,04/07/2020,302,0
Rhondda Cynon Taf,04/07/2020,1791,2
Swansea,04/07/2020,1281,1
Torfaen,04/07/2020,352,0
Vale of Glamorgan,04/07/2020,734,2
Wrexham,04/07/2020,861,13
Anglesey,05/07/2020,384,2
Blaenau Gwent,05/07/2020,352,0
Bridgend,05/07/2020,554,0
Caerphilly,05/07/2020,721,0
Cardiff,05/07/2020,2250,1
Carmarthenshire,05/07/2020,783,0
Ceredigion,05/07/2020,58,0
Conwy,05/07/2020,666,0
Denbighshire,05/07/2020,719,0
Flintshire,05/07/2020,533,0
Gwynedd,05/07/2020,547,0
Merthyr Tydfil,05/07/2020,541,0
Monmouthshire,05/07/2020,357,0
Neath Port Talbot,05/07/2020,633,0
Newport,05/07/2020,858,0
Pembrokeshire,05/07/2020,286,0
Powys,05/07/2020,302,0
Rhondda Cynon Taf,05/07/2020,1792,1
Swansea,05/07/2020,1283,2
Torfaen,05/07/2020,352,0
Vale of Glamorgan,05/07/2020,734,0
Wrexham,05/07/2020,868,7
Anglesey,06/07/2020,384,0
Blaenau Gwent,06/07/2020,352,0
Bridgend,06/07/2020,554,0
Caerphilly,06/07/2020,721,0
Cardiff,06/07/2020,2241,1
Carmarthenshire,06/07/2020,783,0
Ceredigion,06/07/2020,59,1
Conwy,06/07/2020,667,1
Denbighshire,06/07/2020,720,1
Flintshire,06/07/2020,533,0
Gwynedd,06/07/2020,547,0
Merthyr Tydfil,06/07/2020,541,0
Monmouthshire,06/07/2020,357,0
Neath Port Talbot,06/07/2020,633,0
Newport,06/07/2020,858,0
Pembrokeshire,06/07/2020,286,0
Powys,06/07/2020,302,0
Rhondda Cynon Taf,06/07/2020,1793,1
Swansea,06/07/2020,1283,0
Torfaen,06/07/2020,352,0
Vale of Glamorgan,06/07/2020,735,1
Wrexham,06/07/2020,869,1
Anglesey,07/07/2020,384,0
Blaenau Gwent,07/07/2020,352,0
Bridgend,07/07/2020,554,0
Caerphilly,07/07/2020,722,1
Cardiff,07/07/2020,2252,1
Carmarthenshire,07/07/2020,784,1
Ceredigion,07/07/2020,59,0
Conwy,07/07/2020,667,0
Denbighshire,07/07/2020,720,0
Flintshire,07/07/2020,533,0
Gwynedd,07/07/2020,547,0
Merthyr Tydfil,07/07/2020,541,0
Monmouthshire,07/07/2020,357,0
Neath Port Talbot,07/07/2020,633,0
Newport,07/07/2020,858,0
Pembrokeshire,07/07/2020,286,0
Powys,07/07/2020,302,0
Rhondda Cynon Taf,07/07/2020,1794,1
Swansea,07/07/2020,1283,0
Torfaen,07/07/2020,352,0
Vale of Glamorgan,07/07/2020,736,1
Wrexham,07/07/2020,871,2
Anglesey,08/07/2020,385,1
Blaenau Gwent,08/07/2020,353,1
Bridgend,08/07/2020,556,2
Caerphilly,08/07/2020,722,0
Cardiff,08/07/2020,2253,1
Carmarthenshire,08/07/2020,784,0
Ceredigion,08/07/2020,59,0
Conwy,08/07/2020,667,0
Denbighshire,08/07/2020,720,0
Flintshire,08/07/2020,533,0
Gwynedd,08/07/2020,548,1
Merthyr Tydfil,08/07/2020,541,0
Monmouthshire,08/07/2020,357,0
Neath Port Talbot,08/07/2020,633,0
Newport,08/07/2020,859,1
Pembrokeshire,08/07/2020,286,0
Powys,08/07/2020,302,0
Rhondda Cynon Taf,08/07/2020,1796,2
Swansea,08/07/2020,1284,1
Torfaen,08/07/2020,352,0
Vale of Glamorgan,08/07/2020,738,2
Wrexham,08/07/2020,871,0
Anglesey,09/07/2020,385,0
Blaenau Gwent,09/07/2020,353,0
Bridgend,09/07/2020,557,1
Caerphilly,09/07/2020,723,1
Cardiff,09/07/2020,2254,1
Carmarthenshire,09/07/2020,784,0
Ceredigion,09/07/2020,59,0
Conwy,09/07/2020,668,1
Denbighshire,09/07/2020,720,0
Flintshire,09/07/2020,534,1
Gwynedd,09/07/2020,550,2
Merthyr Tydfil,09/07/2020,541,0
Monmouthshire,09/07/2020,357,0
Neath Port Talbot,09/07/2020,635,2
Newport,09/07/2020,860,1
Pembrokeshire,09/07/2020,287,1
Powys,09/07/2020,302,0
Rhondda Cynon Taf,09/07/2020,1799,3
Swansea,09/07/2020,1284,0
Torfaen,09/07/2020,352,0
Vale of Glamorgan,09/07/2020,740,2
Wrexham,09/07/2020,871,0
Anglesey,10/07/2020,385,0
Blaenau Gwent,10/07/2020,353,0
Bridgend,10/07/2020,557,0
Caerphilly,10/07/2020,724,1
Cardiff,10/07/2020,2255,1
Carmarthenshire,10/07/2020,784,0
Ceredigion,10/07/2020,59,0
Conwy,10/07/2020,668,0
Denbighshire,10/07/2020,721,1
Flintshire,10/07/2020,535,1
Gwynedd,10/07/2020,550,0
Merthyr Tydfil,10/07/2020,541,0
Monmouthshire,10/07/2020,357,0
Neath Port Talbot,10/07/2020,635,0
Newport,10/07/2020,860,0
Pembrokeshire,10/07/2020,287,0
Powys,10/07/2020,302,0
Rhondda Cynon Taf,10/07/2020,1799,0
Swansea,10/07/2020,1284,0
Torfaen,10/07/2020,352,0
Vale of Glamorgan,10/07/2020,740,0
Wrexham,10/07/2020,876,5
Anglesey,11/07/2020,385,0
Blaenau Gwent,11/07/2020,353,0
Bridgend,11/07/2020,558,1
Caerphilly,11/07/2020,724,0
Cardiff,11/07/2020,2255,0
Carmarthenshire,11/07/2020,784,0
Ceredigion,11/07/2020,59,0
Conwy,11/07/2020,669,1
Denbighshire,11/07/2020,721,0
Flintshire,11/07/2020,535,0
Gwynedd,11/07/2020,551,1
Merthyr Tydfil,11/07/2020,541,0
Monmouthshire,11/07/2020,357,0
Neath Port Talbot,11/07/2020,635,0
Newport,11/07/2020,860,0
Pembrokeshire,11/07/2020,287,0
Powys,11/07/2020,302,0
Rhondda Cynon Taf,11/07/2020,1800,1
Swansea,11/07/2020,1285,1
Torfaen,11/07/2020,352,0
Vale of Glamorgan,11/07/2020,740,0
Wrexham,11/07/2020,878,2
Anglesey,12/07/2020,386,1
Blaenau Gwent,12/07/2020,353,0
Bridgend,12/07/2020,558,0
Caerphilly,12/07/2020,724,0
Cardiff,12/07/2020,2255,0
Carmarthenshire,12/07/2020,784,0
Ceredigion,12/07/2020,59,0
Conwy,12/07/2020,671,2
Denbighshire,12/07/2020,722,2
Flintshire,12/07/2020,536,1
Gwynedd,12/07/2020,554,3
Merthyr Tydfil,12/07/2020,542,1
Monmouthshire,12/07/2020,357,0
Neath Port Talbot,12/07/2020,635,0
Newport,12/07/2020,860,0
Pembrokeshire,12/07/2020,287,0
Powys,12/07/2020,304,2
Rhondda Cynon Taf,12/07/2020,1800,0
Swansea,12/07/2020,1285,0
Torfaen,12/07/2020,352,0
Vale of Glamorgan,12/07/2020,740,0
Wrexham,12/07/2020,883,5
Anglesey,13/07/2020,387,1
Blaenau Gwent,13/07/2020,355,2
Bridgend,13/07/2020,558,0
Caerphilly,13/07/2020,724,0
Cardiff,13/07/2020,2255,0
Carmarthenshire,13/07/2020,784,0
Ceredigion,13/07/2020,59,0
Conwy,13/07/2020,672,1
Denbighshire,13/07/2020,722,0
Flintshire,13/07/2020,536,0
Gwynedd,13/07/2020,554,0
Merthyr Tydfil,13/07/2020,542,0
Monmouthshire,13/07/2020,358,1
Neath Port Talbot,13/07/2020,635,0
Newport,13/07/2020,861,1
Pembrokeshire,13/07/2020,287,0
Powys,13/07/2020,305,1
Rhondda Cynon Taf,13/07/2020,1800,0
Swansea,13/07/2020,1285,0
Torfaen,13/07/2020,352,0
Vale of Glamorgan,13/07/2020,741,1
Wrexham,13/07/2020,886,3
Anglesey,14/07/2020,452,1
Blaenau Gwent,14/07/2020,366,0
Bridgend,14/07/2020,565,0
Caerphilly,14/07/2020,738,0
Cardiff,14/07/2020,2293,0
Carmarthenshire,14/07/2020,799,0
Ceredigion,14/07/2020,63,0
Conwy,14/07/2020,697,1
Denbighshire,14/07/2020,767,1
Flintshire,14/07/2020,664,5
Gwynedd,14/07/2020,577,6
Merthyr Tydfil,14/07/2020,568,1
Monmouthshire,14/07/2020,358,0
Neath Port Talbot,14/07/2020,653,1
Newport,14/07/2020,875,0
Pembrokeshire,14/07/2020,293,1
Powys,14/07/2020,325,0
Rhondda Cynon Taf,14/07/2020,1852,1
Swansea,14/07/2020,1308,1
Torfaen,14/07/2020,355,0
Vale of Glamorgan,14/07/2020,767,0
Wrexham,14/07/2020,1172,2
Anglesey,15/07/2020,453,1
Blaenau Gwent,15/07/2020,366,0
Bridgend,15/07/2020,565,0
Caerphilly,15/07/2020,738,0
Cardiff,15/07/2020,2293,0
Carmarthenshire,15/07/2020,800,1
Ceredigion,15/07/2020,63,0
Conwy,15/07/2020,699,2
Denbighshire,15/07/2020,768,1
Flintshire,15/07/2020,665,1
Gwynedd,15/07/2020,577,0
Merthyr Tydfil,15/07/2020,568,0
Monmouthshire,15/07/2020,374,0
Neath Port Talbot,15/07/2020,655,2
Newport,15/07/2020,875,0
Pembrokeshire,15/07/2020,294,1
Powys,15/07/2020,326,1
Rhondda Cynon Taf,15/07/2020,1853,1
Swansea,15/07/2020,1311,3
Torfaen,15/07/2020,355,0
Vale of Glamorgan,15/07/2020,768,1
Wrexham,15/07/2020,1174,2
Anglesey,16/07/2020,454,1
Blaenau Gwent,16/07/2020,366,0
Bridgend,16/07/2020,565,0
Caerphilly,16/07/2020,738,0
Cardiff,16/07/2020,2294,1
Carmarthenshire,16/07/2020,801,1
Ceredigion,16/07/2020,63,0
Conwy,16/07/2020,703,4
Denbighshire,16/07/2020,768,0
Flintshire,16/07/2020,665,0
Gwynedd,16/07/2020,577,0
Merthyr Tydfil,16/07/2020,569,1
Monmouthshire,16/07/2020,375,1
Neath Port Talbot,16/07/2020,656,1
Newport,16/07/2020,875,0
Pembrokeshire,16/07/2020,294,0
Powys,16/07/2020,327,1
Rhondda Cynon Taf,16/07/2020,1853,0
Swansea,16/07/2020,1311,0
Torfaen,16/07/2020,355,0
Vale of Glamorgan,16/07/2020,769,1
Wrexham,16/07/2020,1179,5
Anglesey,17/07/2020,454,0
Blaenau Gwent,17/07/2020,366,0
Bridgend,17/07/2020,565,0
Caerphilly,17/07/2020,738,0
Cardiff,17/07/2020,2297,2
Carmarthenshire,17/07/2020,804,0
Ceredigion,17/07/2020,63,0
Conwy,17/07/2020,707,1
Denbighshire,17/07/2020,769,0
Flintshire,17/07/2020,668,2
Gwynedd,17/07/2020,586,1
