Area,Date,Total_Cases,Daily_Cases
Swansea,21/04/2020,800,35
Torfaen,21/04/2020,275,8
Vale of Glamorgan,21/04/2020,425,8
Wrexham,21/04/2020,171,11
Anglesey,22/04/2020,52,3
Blaenau Gwent,22/04/2020,239,4
Bridgend,22/04/2020,320,4
Caerphilly,22/04/2020,507,10
Cardiff,22/04/2020,1446,43
Carmarthenshire,22/04/2020,371,10
Ceredigion,22/04/2020,34,1
Conwy,22/04/2020,137,13
Denbighshire,22/04/2020,196,17
Flintshire,22/04/2020,180,9
Gwynedd,22/04/2020,168,23
Merthyr Tydfil,22/04/2020,194,2
Monmouthshire,22/04/2020,219,5
Neath Port Talbot,22/04/2020,401,17
Newport,22/04/2020,619,5
Pembrokeshire,22/04/2020,166,6
Powys,22/04/2020,141,13
Rhondda Cynon Taf,22/04/2020,862,23
Swansea,22/04/2020,834,34
Torfaen,22/04/2020,277,2
Vale of Glamorgan,22/04/2020,440,15
Wrexham,22/04/2020,180,9
Anglesey,23/04/2020,57,5
Blaenau Gwent,23/04/2020,243,4
Bridgend,23/04/2020,328,8
Caerphilly,23/04/2020,518,11
Cardiff,23/04/2020,1483,36
Carmarthenshire,23/04/2020,405,34
Ceredigion,23/04/2020,35,1
Conwy,23/04/2020,145,8
Denbighshire,23/04/2020,198,2
Flintshire,23/04/2020,181,1
Gwynedd,23/04/2020,175,6
Merthyr Tydfil,23/04/2020,204,10
Monmouthshire,23/04/2020,220,1
Neath Port Talbot,23/04/2020,414,13
Newport,23/04/2020,625,5
Pembrokeshire,23/04/2020,168,2
Powys,23/04/2020,145,4
Rhondda Cynon Taf,23/04/2020,897,35
Swansea,23/04/2020,861,26
Torfaen,23/04/2020,279,2
Vale of Glamorgan,23/04/2020,451,11
Wrexham,23/04/2020,185,5
Anglesey,24/04/2020,58,1
Blaenau Gwent,24/04/2020,248,5
Bridgend,24/04/2020,335,7
Caerphilly,24/04/2020,540,22
Cardiff,24/04/2020,1509,26
Carmarthenshire,24/04/2020,417,12
Ceredigion,24/04/2020,35,0
Conwy,24/04/2020,155,10
Denbighshire,24/04/2020,213,15
Flintshire,24/04/2020,198,17
Gwynedd,24/04/2020,179,4
Merthyr Tydfil,24/04/2020,207,3
Monmouthshire,24/04/2020,222,2
Neath Port Talbot,24/04/2020,429,15
Newport,24/04/2020,643,18
Pembrokeshire,24/04/2020,178,10
Powys,24/04/2020,147,2
Rhondda Cynon Taf,24/04/2020,920,23
Swansea,24/04/2020,882,21
Torfaen,24/04/2020,284,5
Vale of Glamorgan,24/04/2020,462,11
Wrexham,24/04/2020,194,9
Anglesey,25/04/2020,63,5
Blaenau Gwent,25/04/2020,251,2
Bridgend,25/04/2020,355,20
Caerphilly,25/04/2020,545,5
Cardiff,25/04/2020,1551,42
Carmarthenshire,25/04/2020,428,11
Ceredigion,25/04/2020,35,0
Conwy,25/04/2020,182,27
Denbighshire,25/04/2020,219,6
Flintshire,25/04/2020,208,10
Gwynedd,25/04/2020,186,7
Merthyr Tydfil,25/04/2020,218,11
Monmouthshire,25/04/2020,227,5
Neath Port Talbot,25/04/2020,443,14
Newport,25/04/2020,651,8
Pembrokeshire,25/04/2020,189,11
Powys,25/04/2020,153,5
Rhondda Cynon Taf,25/04/2020,961,41
Swansea,25/04/2020,923,41
Torfaen,25/04/2020,285,1
Vale of Glamorgan,25/04/2020,474,12
Wrexham,25/04/2020,204,10
Anglesey,26/04/2020,66,3
Blaenau Gwent,26/04/2020,253,2
Bridgend,26/04/2020,371,16
Caerphilly,26/04/2020,558,13
Cardiff,26/04/2020,1584,33
Carmarthenshire,26/04/2020,432,4
Ceredigion,26/04/2020,35,0
Conwy,26/04/2020,184,2
Denbighshire,26/04/2020,221,2
Flintshire,26/04/2020,209,1
Gwynedd,26/04/2020,189,3
Merthyr Tydfil,26/04/2020,225,7
Monmouthshire,26/04/2020,229,2
Neath Port Talbot,26/04/2020,454,11
Newport,26/04/2020,656,5
Pembrokeshire,26/04/2020,194,5
Powys,26/04/2020,154,2
Rhondda Cynon Taf,26/04/2020,989,28
Swansea,26/04/2020,947,24
